feature,f_score,mi_score,importance
Q41_4,312.90960241353,0.2206517694776453,0.0030120955486550713
Q113,309.99454579734027,0.2185631586194725,0.004054131484671249
Q310_2,309.8109798484626,0.15097375249081724,0.002860397148937663
Q41_6,309.31033951822303,0.21145258237722664,0.0054379235336281286
Q68,292.5416004915572,0.08549195892831718,0.002480267436023319
Q59,289.2599997926777,0.19661185142164617,0.008419624511604266
Q43_10,285.37591909567857,0.1990972465922023,0.0036897268220226175
Q43_6,275.58363511194574,0.2205814966168016,0.005646086482910336
Q41_3,265.03488096882614,0.20913928443043273,0.0027891943738785506
Q310_5,257.4894651751214,0.14942824113977182,0.0025050614063869933
Q310_4,246.59326986265435,0.13770493010351048,0.0025375501469794685
Q43_8,234.3362629333901,0.2094978647442678,0.005750748651784097
Q123,222.51043272358805,0.24587237770246895,0.0075163446710352745
Q514,150.18259592142,0.13841827752048075,0.005337220961524774
Q310_6,145.7927991751943,0.12773991853707733,0.0024615961386861957
Q512,142.7445596629501,0.17999500038121474,0.008227647278069683
Q44_1,135.40939532400728,0.1847404926138001,0.003574897597687705
Q56_3,131.63701916178096,0.22833399313563718,0.004355305629066786
Q56_5,128.6401511184174,0.23096311249405788,0.004070995593111455
Q74,123.97354248200479,0.08849677433929526,0.00218195977205903
Q75,115.30829841820008,0.10007216888427317,0.001617288877386617
Q41_8,106.04540174645224,0.20434627034641872,0.003925544167795253
Q99,100.98950738177076,0.16773126496826274,0.005503929576547567
Q29,93.54300297526277,0.17364660553259137,0.0029384953395805804
Q56_9,88.39037534657238,0.11588758831718904,0.0023894814551183
Q91,84.61304135427984,0.10516635174456357,0.0034172605717956656
Q61_2,83.61513730145572,0.1291418550155532,0.004069675646976201
Q58,82.43208476835171,0.20861144031326617,0.004912161071943048
Q42_6,69.95979598065699,0.20248849283988002,0.003479917373526396
Q72_8,64.29683162331158,0.21284967510125763,0.0039690187144538
Q63_1,62.782943172797864,0.16031628430169964,0.006009270960922396
Q61_1,58.93670966797517,0.14395377546691335,0.0032556490921873036
Q51_0_1_RANK,58.33388784545715,0.08684369063088693,0.0019400096241784788
Q42_4,58.005159272371074,0.17684767471309515,0.0031973838285274695
Q62,52.5662033332437,0.15004880815751043,0.0034095531382719786
Q312_2_missing,49.21088609844922,0.053163004379922496,0.001125138901821392
Q102,47.89694916532756,0.20682252696932135,0.004331897953366872
Q63_7,44.00468851646944,0.09041992623711081,0.002593854403490742
Q101,39.701953165009584,0.21395231149801508,0.0035729031685132213
Q63_3,38.16068146235175,0.11830100125689502,0.0029951419567931245
Q61_3,37.86242324081537,0.09472538771882766,0.0025103954574147657
Q63_6,35.94860426510196,0.09306254369976874,0.0033886637258665315
Q56_7,35.591016308016414,0.21045354906758718,0.004226762779401372
Q72_9,33.640651504538674,0.18038023367836487,0.004221719867544049
Q42_5,32.71911273245317,0.173193586597314,0.0030559609306989497
Q57,28.162631155369187,0.09799286047717426,0.0018259254563005453
Q72_1,25.496073203104814,0.1908102617647982,0.003344519143674226
Q63,22.575115588861184,0.1653365063538026,0.0033573883237277362
Q63_5,22.31174688969955,0.10334293025272889,0.0023779548408716694
Q63_4,20.92260310902905,0.1081965800498581,0.0018633189001151797
Q61,17.194310430920023,0.15645475339656456,0.0029847126366351583
Q61_9,16.818007279042085,0.15917700738586849,0.0025841164963294294
Q56_2,15.613254710518675,0.23527382761795912,0.003876736893217251
Q72_2,12.593860924653061,0.2053965279734966,0.004462154196851396
Q55_1,12.213456127369664,0.178517242029127,0.0030974019521775495
Q72_5,11.927086265798337,0.22070291214810633,0.003546885967310599
Q121,11.66238800781398,0.11791813655434802,0.002761126149152878
Q56_8,10.50425692653472,0.1546745582874116,0.0026868342440169468
Q55_3,10.392934891043586,0.21153024403117437,0.004569182109440468
Q63_2,9.74713732366832,0.10524193554014971,0.002498746018483288
Q61_4,8.378993216144355,0.1498128247099928,0.0031485006738367354
Q61_8,7.886434677663719,0.15519440362772308,0.0032139769260422523
Q72_7,5.874800099858302,0.21937140768749153,0.004806934446942007
Q61_5,5.545621357017856,0.13281841248135162,0.002750859003065628
Q55_7,4.597434430544629,0.07547912901230447,0.0019196005738024771
Q21,3.9143744495939603,0.08975841799805617,0.0022136673511734904
Q56_1,3.5973641905789857,0.20446636639928983,0.003981807011717809
Q72_3,3.495397468898168,0.2327196466612258,0.004602327238867494
Q312_1_missing,3.361723050519962,0.05592557856273195,0.0024837266253263466
Q61_7,3.190356823245563,0.10797742387001041,0.0022007159639889566
Q63_8,2.5361514332030834,0.15033571454180428,0.0027708345569388637
Q55_5,1.4985670659511285,0.19954911046675794,0.004654068021026346
Q23_30,1.000000000092128,0.0,0.0
Q123_missing,0.9899024022369173,0.0546479069136081,0.002014074226053169
Q41_7,0.8204884588342541,0.18403018149152417,0.00334456627854907
Q56_6,0.742492289219887,0.21237602484980722,0.004371968275261214
Q72_4,0.6177540815623185,0.22626656113425847,0.004075822966859155
Q55_6,0.5414973463694294,0.19180941145805863,0.0037017856950229753
Q55_2,0.34213995250207924,0.22365795724242776,0.004170339397782195
Q72_10,0.2309865537001249,0.1508841300381385,0.00323667474397364
Q61_10,0.1998606469084301,0.1262747248174394,0.002545268660206758
Q55_4,0.09428734679464282,0.2178592279636573,0.004435485528187649
Q61_6,0.02216038913369872,0.13702707204058706,0.0027242049823459217
Q72_6,0.0024198849512452503,0.2164845227078127,0.004219291847353237
